"Word","Length","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy"
"weddings","8","7.39","6","2","3","612.55","1.00","593.96","1.00"
"weed","4","8.01","3","1","1","583.94","0.94","567.61","1.00"
"weeds","5","7.01","4","1","2","597.24","1.00","552.96","1.00"
"week","4","11.60","3","1","1","608.48","0.97","569.36","1.00"
"weekday","7","6.82","5","2","2","711.09","0.97","645.89","1.00"
"weekend","7","10.09","6","2","2","650.85","1.00","581.56","0.96"
"weekends","8","8.54","7","2","3","658.94","0.97","674.58","1.00"
"weekly","6","9.84","5","2","2","622.44","0.94","564.63","1.00"
"weep","4","6.72","3","1","1","593.30","0.97","558.96","1.00"
"weighed","7","7.44","3","1","2","687.35","0.91","626.42","1.00"
"weight","6","10.43","3","1","2","544.06","1.00","574.00","1.00"
"weights","7","8.12","4","1","3","610.85","1.00","616.96","1.00"
"weird","5","9.69","4","1","1","674.76","0.97","610.25","1.00"
"welcomed","8","8.50","7","2","2","728.48","0.94","552.46","1.00"
"welcomes","8","7.15","7","2","2","608.45","1.00","589.75","1.00"
"welding","7","6.89","6","2","2","678.48","0.91","611.70","0.96"
"welfare","7","9.93","6","2","2","672.48","0.97","560.79","1.00"
"wells","5","8.52","4","1","2","616.00","0.94","606.70","1.00"
"Welsh","5","8.10","4","1","1","692.19","0.91","558.57","1.00"
"went","4","11.66","4","1","1","608.35","0.91","569.33","1.00"
"west","4","11.05","4","1","1","582.74","0.97","583.61","1.00"
"western","7","10.56","6","2","2","680.09","0.97","589.00","1.00"
"wetlands","8","6.74","8","2","3","682.06","1.00","617.28","1.00"
"we've","5","10.41","3","1","2","763.87","0.97","584.25","1.00"
"whale","5","7.73","4","1","1","649.91","1.00","614.75","1.00"
"whatever","8","11.30","7","3","2","695.15","1.00","615.54","1.00"
"wheat","5","8.32","4","1","1","627.88","0.97","607.48","1.00"
"wheel","5","9.87","4","1","1","563.42","0.97","600.38","1.00"
"wheelchair","10","7.08","7","2","2","747.50","1.00","609.81","1.00"
"wheels","6","9.37","5","1","2","666.45","0.94","591.58","1.00"
"whenever","8","10.04","7","3","2","733.67","0.97","611.33","1.00"
"vice","4","9.67","3","1","1","673.66","0.97","625.19","1.00"
"Vicky","5","7.05","4","2","2","638.31","0.97","607.89","1.00"
"victim","6","9.36","6","2","1","651.03","0.97","641.59","1.00"
"victims","7","9.38","7","2","2","649.79","0.97","613.63","1.00"
"victim's","8","6.71","7","2","2","645.71","1.00","567.72","1.00"
"victor","6","9.10","5","2","1","720.06","1.00","623.52","1.00"
"Victoria","8","8.95","8","3","2","670.41","1.00","671.59","1.00"
"victory","7","9.33","7","3","2","568.03","0.97","597.21","1.00"
"video","5","11.61","5","3","1","579.17","1.00","573.22","1.00"
"videotape","9","7.67","8","4","2","677.24","1.00","598.93","1.00"
"viewed","6","8.89","4","1","2","651.39","1.00","664.50","1.00"
"viewer","6","9.17","4","1","2","663.79","0.97","697.29","1.00"
"viewers","7","8.83","5","1","3","665.38","1.00","658.46","1.00"
"viewing","7","9.16","5","2","2","631.12","0.97","687.04","1.00"
"views","5","10.50","4","1","2","628.85","0.97","627.92","1.00"
"vine","4","7.12","3","1","1","687.81","0.91","581.76","1.00"
"vines","5","7.63","4","1","2","674.35","0.94","642.44","1.00"
"Viking","6","7.91","5","2","1","699.50","0.97","662.57","1.00"
"Vikings","7","7.29","6","2","2","747.44","1.00","615.14","1.00"
"vile","4","7.91","3","1","1","685.19","0.91","633.61","1.00"
"villagers","9","6.95","7","3","3","731.59","1.00","698.93","1.00"
"villages","8","8.10","7","3","2","714.87","0.94","663.77","1.00"
"violate","7","8.54","6","2","2","656.09","1.00","650.11","1.00"
"violated","8","8.40","8","3","3","678.56","1.00","650.00","1.00"
"violates","8","7.96","7","2","3","658.16","0.97","684.48","1.00"
"violating","9","8.14","8","3","3","697.16","0.91","668.75","1.00"
"violence","8","9.90","7","2","2","623.62","1.00","634.18","1.00"
"violent","7","9.42","7","2","2","641.00","1.00","636.57","1.00"
"violet","6","7.12","6","2","1","670.78","0.97","659.07","1.00"
"violin","6","7.86","6","2","1","706.90","0.97","632.11","1.00"
"viper","5","8.10","4","2","1","660.48","0.94","620.70","1.00"
"virgin","6","8.97","5","2","1","726.33","0.97","616.07","1.00"
"virtual","7","10.37","6","2","1","614.61","0.94","656.67","1.00"
"virtue","6","8.42","4","2","1","644.97","1.00","622.25","1.00"
"virtues","7","7.32","5","2","2","771.29","1.00","671.66","1.00"
